City,count
Anderson,20
Tuolumne Meadows,20
Carson,20
North Charleston,20
Steamboat Springs,20
Pooler,20
Key West,20
Rockport,20
Wayne,20
Kenner,20
San Clemente,20
Germantown,20
Chesapeake,20
Greenwich,20
Titusville,20
Turlock,20
Hilton Head Island,20
West Sacramento,20
Melrose,20
Vestal,20
Covina,20
Novi,20
Arcadia,20
Frankfort,20
Cypress,20
Johnson City,20
Hallandale Beach,20
Yakima,20
Revere,20
Pismo Beach,20
Independence,19
Brattleboro,19
Salida,19
Boone,19
State College,19
Fountain Valley,19
Westwood,19
Cedar Rapids,19
Coronado,19
Happy Valley,19
Grand Island,19
Hood River,19
Tyler,19
Gastonia,19
Walla Walla,19
Montpelier,19
Johnston,19
Pembroke Pines,19
Boynton Beach,19
Lake Oswego,19
Cumberland,19
Joplin,19
Acton,19
Appleton,19
Annapolis Junction,19
Barrington,19
Fontana,19
Oak Park,19
Storrs,19
Rancho Mirage,19
Amarillo,19
Groton,19
East Lansing,19
Brea,19
Port Angeles,19
Cookeville,18
Conroe,18
Brockton,18
Kennebunk,18
Tukwila,18
Blue Springs,18
St Petersburg,18
New Bedford,18
New Albany,18
New Rochelle,18
San Leandro,18
Rapid City,18
Missoula,18
Harrisonburg,18
Sparks,18
Clermont,18
Lake Mary,18
Valencia,18
Manassas,18
Middleborough,18
Wellesley,18
Marina,18
Elgin,18
McMinnville,18
Agoura Hills,18
Greenwood,18
Livonia,18
Ames,18
Shawnee,18
Surprise,18
Malibu,18
Sunrise,18
Union City,17
Clifton,17
Mission,17
Leawood,17
Minnetonka,17
Mesquite,17
Oak Brook,17
Foster City,17
St. George,17
Andover,17
Cumming,17
Leavenworth,17
Horsham,17
Estes Park,17
Mount Vernon,17
Avondale,17
Weston,17
Hawthorne,17
Stowe,17
Cathedral City,17
Farmers Branch,17
Redondo Beach,17
Greer,17
Hebron,17
Somerset,17
Montrose,17
Bloomfield,17
Midlothian,17
Redlands,17
Johnstown,17
Aliso Viejo,17
Gladstone,17
Malvern,17
Branford,17
Rock Hill,17
Fitchburg,17
Salina,17
Camden,17
Las Cruces,17
Elizabeth,17
Edgewater,17
Eagle,17
Norman,17
Carlisle,17
Plant City,17
Edmonds,17
Hyattsville,17
Lakeland,17
Newburgh,17
Summerville,17
East Brunswick,16
Norwich,16
Edison,16
College Station,16
East Providence,16
Chesterfield,16
Fargo,16
Carbondale,16
Bellflower,16
Humble,16
Bangor,16
Highlands Ranch,16
SF,16
Meridian,16
Simi Valley,16
Williamstown,16
Chino Hills,16
Glen Burnie,16
The Dalles,16
Sunny Isles Beach,16
Rehoboth Beach,16
Fishers,16
South Bend,16
Red Hook,16
Cherry Hill,16
Falmouth,16
Mechanicsburg,16
Chester,16
Deerfield Beach,16
Weymouth,16
Hendersonville,15
Bremerton,15
Cheyenne,15
West Lafayette,15
Fallbrook,15
Yarmouth,15
Bel Air,15
Lithia Springs,15
Topeka,15
Bensalem,15
Hapeville,15
South Portland,15
Parker,15
Dothan,15
Larkspur,15
McDonough,15
Saint Petersburg,15
Seaside,15
Lockport,15
Cranston,15
Commerce,15
Anacortes,15
Diamond Bar,15
Shrewsbury,15
Garden Grove,15
Goshen,15
Litchfield,15
Nampa,15
Millbrae,15
Ephrata,15
Seal Beach,15
Easthampton,15
Valdosta,15
Greeley,15
Waterford,15
Schaumburg,15
Norcross,15
Beaumont,15
St Louis,15
Juneau,15
East Greenbush,15
Merritt Island,15
Altoona,15
Mackinaw City,15
Hilo,15
Selma,15
Grass Valley,14
Haverhill,14
Maumee,14
Needham,14
Coconut Creek,14
Maryville,14
Warner Robins,14
Hyannis,14
Trenton,14
Amesbury,14
Dearborn,14
Sidney,14
Crescent City,14
New Bern,14
Northbrook,14
St. Louis Park,14
Tehachapi,14
West Covina,14
Victor,14
Rensselaer,14
Marshfield,14
Sonoma,14
Kailua-Kona,14
Valley Center,14
Morristown,14
Kennewick,14
Custer,14
San Pablo,14
St. Paul,14
Morgan Hill,14
Hershey,14
Niagara Falls,14
Elkridge,14
Monticello,14
Grove City,14
Douglasville,14
Long Island City,14
Spokane Valley,14
Buena Park,14
Chantilly,14
Fortuna,14
North Kansas City,14
Mishawaka,14
Baker,14
Dubuque,14
Middlebury,14
North Bethesda,14
Galveston,14
Miami Lakes,14
Buttonwillow,14
Rockford,14
Carmel-by-the-Sea,14
Mattoon,14
Piscataway,14
Battle Creek,14
Kearny,14
Layton,14
Porterville,14
New Hartford,14
Hillsborough,14
Nantucket,14
Cabazon,14
Woodinville,14
Arcata,14
Glens Falls,14
Lewiston,14
Tuscaloosa,14
Mount Shasta,14
Van Nuys,14
Coos Bay,14
Madras,14
North Hollywood,14
Bar Harbor,14
Daly City,14
Wooster,14
Hadley,13
Kyle,13
Astoria,13
Rutland,13
Wilsonville,13
Clare,13
Oakdale,13
Del Mar,13
Edwardsville,13
Lihue,13
Pacific Grove,13
Hollister,13
Antioch,13
Quakertown,13
Coventry,13
Sun Prairie,13
Secaucus,13
Jonesboro,13
Sherman Oaks,13
Lima,13
Laguna Niguel,13
Nashua,13
West Springfield,13
Braintree,13
Methuen,13
Miramar,13
Newberg,13
Stony Brook,13
Mankato,13
Sumter,13
Washougal,13
Billings,13
Stoughton,13
Kirkwood,13
Eagan,13
Livingston,13
Spartanburg,13
Saint Joseph,13
Inyokern,13
Hamden,13
Moorpark,13
Fort Walton Beach,13
Downers Grove,13
Perry,13
Westerville,13
Longview,13
Wenatchee,13
Azusa,13
Huntington,13
Villanova,13
Oswego,13
Evansville,13
Wexford,13
Richardson,13
Itasca,13
Crested Butte,13
Ridgeland,13
Flushing,13
Lakeville,13
Ellicott City,13
Coralville,13
Windham,13
Blowing Rock,13
Wilson,13
Joliet,13
Kihei,13
Waipahu,13
Midland,13
Waldorf,13
Canandaigua,13
McHenry,12
Mebane,12
Brooklyn Park,12
Liberty,12
Ewing Township,12
Shelton,12
Addison,12
Cartersville,12
Oakhurst,12
Pittsboro,12
Belmont,12
Towson,12
Atlantic City,12
Nottingham,12
Anchorage,12
Yuma,12
Egg Harbor Township,12
Essex,12
Black Hawk,12
Richland,12
Federal Way,12
Lynchburg,12
Silverthorne,12
Panama City Beach,12
Bay City,12
Gresham,12
Carterville,12
Fort Stewart,12
Waynesville,12
Tarrytown,12
Mendota,12
Colchester,12
The Colony,12
Firebaugh,12
Tewksbury,12
Basalt,12
Edwards,12
Belton,12
Okeechobee,12
Hancock,12
Hamilton Township,12
Castle Rock,12
Fort Bragg,12
Deer Park,12
Morgantown,12
Pontiac,12
Calabasas,12
Forks,12
Hampton,12
Carrollton,12
Glendora,12
Paris,12
Maple Grove,12
Stafford,12
Ocala,12
Hattiesburg,12
Brookhaven,12
Chelsea,12
Grapevine,12
Wheat Ridge,12
Euless,12
Harrison,12
Pomona,12
Warrenton,12
Burnsville,12
Farmington Hills,12
Exton,12
Idaho Falls,12
Arlington Heights,12
Cicero,12
Linthicum Heights,12
North Andover,12
Grand Forks,12
La Crosse,12
Westford,12
Shelby,12
Williamsville,12
St. Peters,12
Green Bay,12
Fort Washington,12
Asheboro,12
Abingdon,12
Chatsworth,11
Bennington,11
Lompoc,11
Rochester Hills,11
Sugar Land,11
Bishop,11
Mojave,11
Hoffman Estates,11
Cheektowaga,11
Panama City,11
Niles,11
Cortland,11
Laguna Hills,11
Glen Allen,11
Largo,11
Waukegan,11
Grandville,11
San Bruno,11
Weatherford,11
South Jordan,11
Laguna Woods,11
Merriam,11
Los Altos,11
Coppell,11
Jasper,11
Gonzales,11
Janesville,11
South Salt Lake,11
Pasco,11
Pittsfield,11
Cocoa,11
Prescott,11
Bozeman,11
Bettendorf,11
Lake Elsinore,11
Riverdale,11
Richfield,11
Destin,11
Saranac Lake,11
Skokie,11
Osawatomie,11
Riviera Beach,11
Cape Girardeau,11
Powell,11
Ludlow,11
Chevy Chase,11
Highland Park,11
Buffalo Grove,11
Plantation,11
North Haven,11
